Assemblies	megahit_1mil_short	spades_1mil_short	megahit_10mil_short	spades_10mil_short	megahit_1mil_long	spades_1mil_long	megahit_10mil_long	spades_10mil_long
Salix_caprea_Mitochondrion	-	-	7920	1399	809	6478	7908	3339
Salix_reticulata_Chloroplast	2533	3426	4100	2564	4791	4187	11155	16369
Salix_reticulata_Chromosome	7808	2790	7920	2613	4764	6478	7908	5292
Salix_reticulata_Mitochondrion	-	-	7920	1399	809	6478	7908	3339
Scirpus_sylvaticus_Chromosome	7808	-	7920	1038	4764	6478	7908	1278
Scirpus_sylvaticus_Mitochondrion	-	-	-	-	4764	-	932	1278
Solanum_tuberosum_Chloroplast	-	-	2241	-	4764	520	-	1918
Trifolium_pratense_Mitochondrion	-	-	555	698	-	-	882	1590
Triglochin_maritima_Chloroplast	-	-	755	-	4764	-	2847	1278
Triglochin_maritima_Chromosome	-	-	726	583	4764	514	1251	1590
Triglochin_maritima_Mitochondrion	-	-	755	-	-	-	-	1590
Vaccinium_myrtillus_Chromosome	-	-	7920	-	4764	6478	7908	1590
Veronica_serpyllifolia_Chloroplast	1561	-	755	-	4764	-	-	647
Veronica_serpyllifolia_Chromosome	7808	-	7920	-	4764	6478	7908	1590
Veronica_serpyllifolia_Mitochondrion	-	-	-	-	-	-	882	1590
not_aligned	-	-	762	1271	510	506	1254	1055
