Assemblies	megahit_1mil_short	spades_1mil_short	megahit_10mil_short	spades_10mil_short	megahit_1mil_long	spades_1mil_long	megahit_10mil_long	spades_10mil_long
Mentha_aquatica_Mitochondrion	-	-	-	-	0.00	-	0.00	0.00
Myrica_gale_Chloroplast	0.00	-	0.00	0.00	0.00	-	0.00	0.00
Myrica_gale_Chromosome	-	-	0.00	0.00	0.00	-	0.00	0.00
Myrica_gale_Mitochondrion	-	-	0.00	0.00	0.00	-	0.00	0.00
Nilaparvata_lugens_Chromosome	-	-	-	-	-	-	-	-
Nilaparvata_lugens_Mitochondrion	-	-	-	-	-	-	-	-
Populus_euphratica_Chloroplast	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Populus_tremula_Chloroplast	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Populus_tremula_Chromosome	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Populus_tremula_Mitochondrion	-	0.00	0.00	0.00	0.00	-	0.00	0.00
Populus_trichocarpa_Chloroplast	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Populus_trichocarpa_Chromosome	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Salix_caprea_Chloroplast	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Salix_caprea_Chromosome	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Salix_caprea_Mitochondrion	-	-	0.00	0.00	0.00	0.00	0.00	0.00
Salix_reticulata_Chloroplast	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Salix_reticulata_Chromosome	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Salix_reticulata_Mitochondrion	-	-	0.00	0.00	0.00	0.00	0.00	0.00
Scirpus_sylvaticus_Chromosome	0.00	-	0.00	0.00	0.00	0.00	0.00	0.00
Scirpus_sylvaticus_Mitochondrion	-	-	-	-	0.00	-	0.00	0.00
Solanum_tuberosum_Chloroplast	-	-	0.00	-	0.00	0.00	-	0.00
Trifolium_pratense_Mitochondrion	-	-	0.00	0.00	-	-	0.00	0.00
Triglochin_maritima_Chloroplast	-	-	0.00	-	0.00	-	0.00	0.00
Triglochin_maritima_Chromosome	-	-	0.00	0.00	0.00	0.00	0.00	0.00
Triglochin_maritima_Mitochondrion	-	-	0.00	-	-	-	-	0.00
Vaccinium_myrtillus_Chromosome	-	-	0.00	-	0.00	0.00	0.00	0.00
Veronica_serpyllifolia_Chloroplast	0.00	-	0.00	-	0.00	-	-	0.00
Veronica_serpyllifolia_Chromosome	0.00	-	0.00	-	0.00	0.00	0.00	0.00
Veronica_serpyllifolia_Mitochondrion	-	-	-	-	-	-	0.00	0.00
